,Car_No,Commodity
0,AEX7900,CANOLA MEAL PEL
1,AEX8052,CANOLA MEAL PEL
2,AOKX65542,CANOLA MEAL PEL
3,AOKX65563,CANOLA MEAL PEL
4,AOKX854166,CANOLA MEAL PEL
5,CBFX354088,CANOLA MEAL PEL
6,CBFX354104,CANOLA MEAL PEL
7,CEFX10242,CANOLA MEAL PEL
8,CEFX10628,CANOLA MEAL PEL
9,CEFX12310,CANOLA MEAL PEL
10,CEFX355158,CANOLA MEAL PEL
11,CEFX71017,CANOLA MEAL PEL
12,FURX847203,CANOLA MEAL PEL
13,GACX14315,CANOLA MEAL PEL
14,GACX14577,CANOLA MEAL PEL
15,GACX14700,CANOLA MEAL PEL
16,GCCX42012,CANOLA MEAL PEL
17,NRLX6012,CANOLA MEAL PEL
18,SHPX454934,CANOLA MEAL PEL
19,SOXX540263,CANOLA MEAL PEL
20,TILX540218,CANOLA MEAL PEL
21,TILX540230,CANOLA MEAL PEL
22,TILX54192,CANOLA MEAL PEL
23,TILX55721,CANOLA MEAL PEL
24,TILX642124,CANOLA MEAL PEL
25,AOKX600892,"SOYBN CK,ML,SCR"
26,BN467689,"SOYBN CK,ML,SCR"
27,BN472072,"SOYBN CK,ML,SCR"
28,CGEX1706,"SOYBN CK,ML,SCR"
29,CGEX1955,"SOYBN CK,ML,SCR"
30,CHTT720261,CORN
31,CHTT720545,CORN
32,CMO20378,CORN
33,CMO20847,CORN
34,CMO265279,CORN
35,MP722335,CORN
36,MP722898,CORN
37,NOKL441073,CORN
38,UP75770,CORN
39,UP78228,CORN
40,UP79364,CORN
41,UP87052,CORN
42,UP95684,CORN
43,UP99385,CORN
44,CHTT720358,CORN
45,CHTT721206,CORN
46,CHTT721513,CORN
47,CMO104798,CORN
48,CMO112401,CORN
49,CMO112854,CORN
50,CMO113359,CORN
51,CMO20653,CORN
52,CMO22307,CORN
53,CMO265289,CORN
54,COER355074,CORN
55,UP100144,CORN
56,UP111525,CORN
57,UP111617,CORN
58,UP90584,CORN
59,UP99956,CORN
60,CHTT720387,CORN
61,CHTT721820,CORN
62,CHTT721989,CORN
63,CMO100101,CORN
64,CMO100220,CORN
65,CMO101317,CORN
66,CMO13647,CORN
67,CMO22369,CORN
68,CMO23234,CORN
69,UP101902,CORN
70,UP89936,CORN
71,UP91659,CORN
72,UP92874,CORN
73,UP93106,CORN
74,UP93542,CORN
75,MKT4350,CORN
76,UP112114,CORN
77,MWCX100724,"COTTONSEED,NBXC"
78,MWCX102441,"COTTONSEED,NBXC"
79,MWCX102456,"COTTONSEED,NBXC"
80,NDYX841853,CANOLA MEAL PEL
81,TRGX854496,CANOLA MEAL PEL
82,TRGX854752,CANOLA MEAL PEL
83,TRGX855907,CANOLA MEAL PEL
84,AEX9079,CANOLA MEAL
85,AEX9156,CANOLA MEAL
86,AOKX603764,CANOLA MEAL
87,AOKX603765,CANOLA MEAL
88,CEFX360825,CANOLA MEAL
89,CEFX360827,CANOLA MEAL
90,CRDX10122,CANOLA MEAL
91,CRDX15020,CANOLA MEAL
92,CRDX15076,CANOLA MEAL
93,CRDX15626,CANOLA MEAL
94,CRDX15653,CANOLA MEAL
95,CRDX15665,CANOLA MEAL
96,CRDX15677,CANOLA MEAL
97,BNSF436957,CANOLA MEAL
98,BNSF466132,CANOLA MEAL
99,MWCX463628,CANOLA MEAL
100,WRWK9549,CANOLA MEAL
101,TCIX256278,"OILS,NUT,SEED"
102,TCIX256405,"OILS,NUT,SEED"
103,TCIX256412,"OILS,NUT,SEED"
104,TCIX256419,"OILS,NUT,SEED"
105,TCIX256425,"OILS,NUT,SEED"
106,TILX253449,"OILS,NUT,SEED"
107,UTLX649066,"OILS,NUT,SEED"
