,Car_No,Commodity
0,UP111475,CORN
1,CMO111877,CORN
2,CMO21507,CORN
3,UP111361,CORN
4,UP90807,CORN
5,AOKX167204,CORN
6,UP92679,CORN
7,CMO22123,CORN
8,UP111202,CORN
9,UP92708,CORN
10,MWCX100715,"COTTONSEED,NBXC"
11,MWCX100705,"COTTONSEED,NBXC"
12,MWCX102246,"COTTONSEED,NBXC"
13,FURX855155,CANOLA MEAL
14,TILX636760,CANOLA MEAL
15,CGAX10107,SOYBEAN HULLS
16,UP95618,CORN
17,TCIX250785,OILS NUT SEED
18,TCIX250758,OILS NUT SEED
19,UP99515,CORN
20,CMO113290,CORN
21,UP89960,CORN
22,CMO101248,CORN
23,UP100368,CORN
24,UP111346,CORN
25,UP101507,CORN
26,CMO112193,CORN
27,CHTT721036,CORN
28,UP99542,CORN
29,CMO101411,CORN
30,CHTT721308,CORN
31,CMO112449,CORN
32,CMO112631,CORN
33,UP111477,CORN
34,CMO200130,CORN
35,CMO112386,CORN
36,UP111110,CORN
37,UP99341,CORN
38,UP95996,CORN
39,CMO112361,CORN
40,CHTT721168,CORN
41,CITX701430,CORN
42,CMO20310,CORN
43,UP99227,CORN
44,CMO21361,CORN
45,CMO100164,CORN
46,UP111294,CORN
47,CMO101060,CORN
48,CMO200010,CORN
49,CHTT720825,CORN
50,UP90552,CORN
51,CMO112315,CORN
52,CMO113051,CORN
53,CMO113336,CORN
54,CGOX6028,SOYBEAN HULLS
55,TCIX250782,OILS NUT SEED
56,TCIX256440,OILS NUT SEED
57,TCIX256444,OILS NUT SEED
58,CMO23231,CORN
59,CMO100002,CORN
60,CGOX5963,SOYBEAN HULLS
61,UP111322,CORN
62,CHTT720515,CORN
63,CMO20853,CORN
64,ADMX560137,CANOLA MEAL PEL
65,ADMX560079,CANOLA MEAL PEL
66,GBRX712984,CANOLA MEAL PEL
67,SOXX532089,CANOLA MEAL PEL
68,TILX540234,CANOLA MEAL PEL
69,AOKX600692,CANOLA MEAL PEL
70,CBFX354082,CANOLA MEAL PEL
71,ADMX52571,CANOLA MEAL PEL
72,AOKX854315,CANOLA MEAL PEL
73,BN448243,CK/ML RAPE SEED
74,BN472387,CK/ML RAPE SEED
75,BNSF436892,CK/ML RAPE SEED
76,CEFX70854,CANOLA MEAL PEL
77,CEFX71030,CANOLA MEAL PEL
78,CGAX10011,CK/ML RAPE SEED
79,CGAX10283,SOYBN CK ML SCR
80,CITX222094,CANOLA MEAL PEL
81,FURX847203,CANOLA MEAL PEL
82,GCCX42012,CANOLA MEAL PEL
83,NRLX6012,CANOLA MEAL PEL
84,SHPX454910,CANOLA MEAL PEL
85,SHPX454934,CANOLA MEAL PEL
86,TILX55428,CANOLA MEAL PEL
87,TILX55491,CANOLA MEAL PEL
88,AEX9039,CANOLA MEAL PEL
89,CEFX10518,CANOLA MEAL PEL
90,GACX14705,CANOLA MEAL PEL
91,CEFX350709,"SOYBN CK,ML,SCR"
92,CRDX15777,"SOYBN CK,ML,SCR"
93,CGAX10249,"SOYBN CK,ML,SCR"
94,BNSF429803,"CK/ML,RAPE SEED"
95,BNSF470922,"CK/ML,RAPE SEED"
96,BNSF497972,"CK/ML,RAPE SEED"
97,CGAX10072,"CK/ML,RAPE SEED"
98,MWCX463635,"CK/ML,RAPE SEED"
99,NDYX826110,"CK/ML,RAPE SEED"
100,TILX570086,"CK/ML,RAPE SEED"
101,CHTT720469,CORN
102,CMO112929,CORN
103,CMO21934,CORN
104,COER354789,CORN
105,HKRX540013,CORN
106,MP723759,CORN
107,UP90102,CORN
108,UP92597,CORN
109,UP95717,CORN
110,UP99052,CORN
111,UP99639,CORN
112,UP90624,CORN
113,CEFX319432,CORN
114,CMO101029,CORN
115,CMO101237,CORN
116,CMO111906,CORN
117,CMO112394,CORN
118,CMO113152,CORN
119,CMO200077,CORN
120,CMO21741,CORN
121,CMO21796,CORN
122,CMO22587,CORN
123,NDYX843338,CORN
124,UP100352,CORN
125,UP92696,CORN
126,UP92917,CORN
127,UP95584,CORN
128,UP95794,CORN
129,UP95841,CORN
130,UP99036,CORN
131,MWCX100701,"COTTONSEED,NBXC"
132,NDYX842260,CANOLA MEAL PEL
133,NDYX842432,CANOLA MEAL PEL
134,TRGX855921,CANOLA MEAL PEL
135,CRDX15065,CANOLA MEAL
136,TCIX250755,"OILS,NUT,SEED"
